area,avg_diet_energy_pct,cereal_import_ratio_pct,pct_arable_land_irrigation,mod_severe_insecure_female_pct,mod_severe_insecure_male_pct,mod_severe_insecure_total_pop_pct,severe_insecure_female_pct,severe_insecure_male_pct,severe_insecure_total_pop_pct,undernourishment_pct,diet_cereal_roots_tubers,food_imports_pct,2018_cost_ppp,2019_cost_ppp,2020_cost_ppp,2018_num_unable_to_afford_diet,2019_num_unable_to_afford_diet,2020_num_unable_to_afford_diet,2018_pct_unable_to_afford_diet,2019_pct_unable_to_afford_diet,2020_pct_unable_to_afford_diet,capital_coordinates,,
El Salvador,121,53.5,2.5,50.6,39.6,45.1,17.4,12.9,15.1,7.2,51,34,,,,,,,,,,"(13.8000382, -88.9140683)",,
Equatorial Guinea,,,0.1,,,,,,,,,5,2.816,2.861,2.928,3.1,3.4,4.4,18.3,19.8,25.1,"(1.613172, 10.5170357)",,
Eritrea,,,0.2,,,,,,,,,22,3.507,3.503,3.369,72.7,70.9,67.9,70.1,67.2,63.2,"(15.9500319, 37.9999668)",,
Estonia,127,-138.4,0.1,7.8,8,7.9,0.7,0.9,0.8,2.5,25,8,,,,,,,,,,"(58.7523778, 25.3319078)",,
Eswatini,109,61.2,2.9,,,,,,,12.1,57,16,3.599,3.635,3.676,,,,,,,"(-26.5624806, 31.3991317)",,
Ethiopia,110,6.6,0.8,53.8,58.9,56.3,16.1,16.8,16.4,20.7,75,69,3.188,3.284,3.35,0,0,0,0.8,1.3,1.1,"(10.2116702, 38.6521203)",,
Fiji,117,89.2,0.2,14.3,14.3,14.3,2,2,2,5.7,50,35,3.349,3.395,3.406,0.9,0.9,0.9,75.8,75,75.3,"(-18.1239696, 179.0122737)",,
Finland,131,-12.9,0.2,8.7,7.2,8,2.1,1.7,1.9,2.5,32,6,3.068,3.174,3.19,13.7,12.9,12.7,2,1.8,1.8,"(63.2467777, 25.9209164)",,
France,141,-104.4,5.2,5.1,6.4,5.8,0.5,1,0.7,2.5,33,9,3.016,3.117,3.14,6.8,6.3,6.1,1.5,1.4,1.4,"(46.603354, 1.8883335)",,
French Polynesia,115,,0.3,,,,,,,5.9,37,298,3.677,3.858,3.914,0.4,0.5,0.5,45.8,52.9,56.8,"(-17.0243749, -144.6434898)",,
Gabon,109,91.2,0,,,,,,,20.9,52,8,2.624,2.704,2.732,0,0,0,0.2,0.1,0.1,"(-0.8999695, 11.6899699)",,
Gambia,106,71.7,0.5,55,56.9,56,24.5,27,25.7,18.3,58,158,3.019,3.177,3.238,0.1,0.2,0.2,0.1,0.3,0.3,"(13.470062, -15.4900464)",,
